rnd,dato,kamp,res,tilskuere,dommer,season,modstander,mean_tilskuere,kategori,mean_tilskuere_saeson,vff_mal,modstander_mal,vff_mal_kampen_foer,saeson,runde,tilskuere_1,ar,hold,d10_tilskuere,d7_tilskuere,d3_tilskuere,kort,langt,navn,stadion,sponsor_stadion_navn,tilskuere_2,rnd_1,dato_1,kamp_1,hjemme,ude,res_1,tilskuere_3,dommer_1,dato_num,dag,maned,ar_start,ar_slut,ar_1,match_date,saeson_1,kickoff,holiday_name,is_holiday,weekday_num,dagstype,kickoff_hour,kamp_tid,regn_1h_for,regn_dag,temp_kamp,vind_1h,vindstod_1h,skydaekke_kamp,regn_1h_kat,regn_dag_kat,temp_kamp_kat,vind_1h_kat,vindstod_1h_kat,skydaekke_kamp_kat,dato_index,vff_maal_from_res,modstander_maal_from_res
5,2004-11-03,VFF - SIF,1-1,4709,Emil Laursen,2004/2005,SIF,3875.1538461538466,B,5132.8125,1,1,1,2004/2005,5,4709,2004,VFF-SIF,2371,3220,3800,SIF,Silkeborg IF,Silkeborg Idrætsforening,JYSK Park,JYSK Park,10000,5,3.11,VFF - SIF,VFF,SIF,1 - 1,4.709,Emil Laursen,3.11,3,11,2004,2005,2004,12725,2004/2005,1099503000,Ingen,0,3,Hverdag,18,Aften,0,0.4,9.071428571428571,3.1,6,85.71428571428571,Ingen regn før kamp,Lidt regn i løbet af dag,Koldt,Svag vind,Let vindstød,Overskyet,03/11/2004,1,1
16,2004-11-13,VFF - SIF,1-1,3683,Knud Erik Fisker,2004/2005,SIF,3875.1538461538466,B,5132.8125,1,1,1,2004/2005,16,3683,2004,VFF-SIF,1555,2351,3229,SIF,Silkeborg IF,Silkeborg Idrætsforening,JYSK Park,JYSK Park,10000,16,13.11,VFF - SIF,VFF,SIF,1 - 1,3.683,Knud Erik Fisker,13.11,13,11,2004,2005,2004,12735,2004/2005,1100361600,Ingen,0,6,Weekend,17,Aften,0,0,2.9857142857142858,4.35,8.4,3.5714285714285716,Ingen regn før kamp,Tør dag,Koldt,Mellem vind,Mellem vindstød,Solrigt,13/11/2004,1,1
19,2005-03-12,VFF - AGF,2-1,5608,Thomas Vejlgaard,2004/2005,AGF,4917.59375,A,5132.8125,2,1,1,2004/2005,19,5608,2005,VFF-AGF,2692,3794,4780,AGF,AGF,Aarhus Gymnastikforening,Vejlby Stadium,Vejlby Stadium,12000,19,12.03,VFF - AGF,VFF,AGF,2 - 1,5.608,Thomas Vejlgaard,12.03,12,3,2004,2005,2005,12854,2004/2005,1110643200,Ingen,0,6,Weekend,17,Aften,0,0.2,-1.7285714285714286,5.7,9.5,30,Ingen regn før kamp,Lidt regn i løbet af dag,Koldt,Mellem vind,Mellem vindstød,Let overskyet,12/03/2005,2,1
21,2005-04-03,VFF - AaB,2-1,6334,RenÃ© Christensen,2004/2005,AaB,4740.379310344828,A,5132.8125,2,1,2,2004/2005,21,6334,2005,VFF-AaB,3101,3979,5372,AaB,AaB,Aalborg Boldspilklub af 1885,Aalborg Stadion,Aalborg Portland Park,13600,21,3.04,VFF - AaB,VFF,AaB,2 - 1,6.334,RenÃ© Christensen,3.04,3,4,2004,2005,2005,12876,2004/2005,1112533200,Ingen,0,7,Weekend,15,Eftermiddag,0,0,17.6,6.2,11.65,1.4285714285714286,Ingen regn før kamp,Tør dag,Mildt,Mellem vind,Mellem vindstød,Solrigt,03/04/2005,2,1
23,2005-04-16,VFF - BIF,0-2,9215,Peter Rasmussen,2004/2005,BIF,6615.142857142857,A,5132.8125,0,2,2,2004/2005,23,9215,2005,VFF-BIF,4367,5236,7944,BIF,Brøndby IF,Brøndbyernes Idrætsforening,Brøndby Stadion,Vilfort Park,28000,23,16.04,VFF - BIF,VFF,BIF,0 - 2,9.215,Peter Rasmussen,16.04,16,4,2004,2005,2005,12889,2004/2005,1113656400,Ingen,0,6,Weekend,15,Eftermiddag,0,0,15.657142857142857,7.699999999999999,13.25,27.142857142857142,Ingen regn før kamp,Tør dag,Mildt,Mellem vind,Mellem vindstød,Solrigt,16/04/2005,0,2
25,2005-05-01,VFF - FCK,0-2,6571,Claus Bo Larsen,2004/2005,FCK,5108.321428571429,A,5132.8125,0,2,0,2004/2005,25,6571,2005,VFF-FCK,2658,3758,5532,FCK,FC København,Football Club København,Parken,Parken,38065,25,1.05,VFF - FCK,VFF,FCK,0 - 2,6.571,Claus Bo Larsen,1.05,1,5,2004,2005,2005,12904,2004/2005,1114961400,Ingen,0,7,Weekend,17,Aften,0,0,13.214285714285714,4.1,7,91.42857142857143,Ingen regn før kamp,Tør dag,Mildt,Mellem vind,Let vindstød,Overskyet,01/05/2005,0,2
27,2005-05-16,VFF - EFB,2-2,4742,Knud Stadsgaard,2004/2005,EFB,3417.842105263158,C,5132.8125,2,2,0,2004/2005,27,4742,2005,VFF-EFB,1866,2828,4309,EFB,Esbjerg fB,Esbjerg forenede Boldklubber,Esbjerg Stadion ,Blue Water Arena,17442,27,16.05,VFF - EFB,VFF,EFB,2 - 2,4.742,Knud Stadsgaard,16.05,16,5,2004,2005,2005,12919,2004/2005,1116248400,2. Pinsedag,1,1,Hverdag,15,Eftermiddag,0,0.4,8.914285714285715,11.3,17.9,60.714285714285715,Ingen regn før kamp,Lidt regn i løbet af dag,Koldt,Kraftig vind,Kraftige vindstød,Let overskyet,16/05/2005,2,2
29,2005-05-22,VFF - HER,2-1,4032,Emil Laursen,2004/2005,HER,2186.75,D,5132.8125,2,1,2,2004/2005,29,4032,2005,VFF-HER,2128,2449,3156,HER,Herfølge BK,Herfølge Boldklub,Herfølge Stadion,Herfølge Stadion,8000,29,22.05,VFF - HER,VFF,HER,2 - 1,4.032,Emil Laursen,22.05,22,5,2004,2005,2005,12925,2004/2005,1116766800,Ingen,0,7,Weekend,15,Eftermiddag,0,0,19.214285714285715,5.4,11.100000000000001,45.714285714285715,Ingen regn før kamp,Tør dag,Varmt,Mellem vind,Mellem vindstød,Let overskyet,22/05/2005,2,1
31,2005-06-12,VFF - FCN,1-2,4380,Knud Erik Fisker,2004/2005,FCN,4216.444444444444,B,5132.8125,1,2,2,2004/2005,31,4380,2005,VFF-FCN,2029,2762,3904,FCN,FC Nordsjælland,Football Club Nordsjælland,Farum Park,Right to Dream Park,10300,31,12.06,VFF - FCN,VFF,FCN,1 - 2,4.38,Knud Erik Fisker,12.06,12,6,2004,2005,2005,12946,2004/2005,1118581200,Ingen,0,7,Weekend,15,Eftermiddag,0,0,12.585714285714285,6.95,10.850000000000001,90,Ingen regn før kamp,Tør dag,Mildt,Mellem vind,Mellem vindstød,Overskyet,12/06/2005,1,2
32,2005-06-15,VFF - RFC,2-1,3285,RenÃ© Christensen,2004/2005,RFC,5100.875,A,5132.8125,2,1,1,2004/2005,32,3285,2005,VFF-RFC,1493,2175,2786,RFC,Randers FC,Randers Football Club,Cepheus Park Randers,Cepheus Park Randers,10300,32,15.06,VFF - RFC,VFF,RFC,2 - 1,3.285,RenÃ© Christensen,15.06,15,6,2004,2005,2005,12949,2004/2005,1118854800,Ingen,0,3,Hverdag,19,Aften,0,0,21.357142857142858,5.15,10.3,0,Ingen regn før kamp,Tør dag,Varmt,Mellem vind,Mellem vindstød,Solrigt,15/06/2005,2,1
2,2005-07-24,VFF - FCN,3-1,2880,Henrik Kragh,2005/2006,FCN,4216.444444444444,B,5140.875,3,1,2,2005/2006,2,2880,2005,VFF-FCN,1278,1761,2508,FCN,FC Nordsjælland,Football Club Nordsjælland,Farum Park,Right to Dream Park,10300,2,24.07,VFF - FCN,VFF,FCN,3 - 1,2.88,Henrik Kragh,24.07,24,7,2005,2006,2005,12988,2005/2006,1122210000,Ingen,0,7,Weekend,15,Eftermiddag,0,0,15.385714285714286,6.45,10.3,98.57142857142857,Ingen regn før kamp,Tør dag,Mildt,Mellem vind,Mellem vindstød,Overskyet,24/07/2005,3,1
4,2005-08-07,VFF - SJF,3-1,4227,RenÃ© Christensen,2005/2006,SJF,3854.4166666666665,C,5140.875,3,1,3,2005/2006,4,4227,2005,VFF-SDR,1643,2454,3762,NA,NA,NA,NA,NA,NA,4,7.08,VFF - SJF,VFF,SJF,3 - 1,4.227,RenÃ© Christensen,7.08,7,8,2005,2006,2005,13002,2005/2006,1123419600,Ingen,0,7,Weekend,15,Eftermiddag,0,0.6,17.271428571428572,4.85,9.45,40,Ingen regn før kamp,Lidt regn i løbet af dag,Mildt,Mellem vind,Mellem vindstød,Let overskyet,07/08/2005,3,1
7,2005-08-27,VFF - OB,1-2,3318,Knud Erik Fisker,2005/2006,OB,3524.217391304348,C,5140.875,1,2,3,2005/2006,7,3318,2005,VFF-OB,1598,2187,2936,OB,Odense Boldklub,Odense Boldklub,Odense Stadion,Nature Energy Park,15790,7,27.08,VFF - OB,VFF,OB,1 - 2,3.318,Knud Erik Fisker,27.08,27,8,2005,2006,2005,13022,2005/2006,1125154800,Ingen,0,6,Weekend,17,Aften,1.7999999999999998,2.6,15.1,5.4,11.9,80.71428571428571,Let regn før kamp,Lidt regn i løbet af dag,Mildt,Mellem vind,Mellem vindstød,Overskyet,27/08/2005,1,2
9,2005-09-18,VFF - BIF,3-1,8585,Knud Stadsgaard,2005/2006,BIF,6615.142857142857,A,5140.875,3,1,1,2005/2006,9,8585,2005,VFF-BIF,3768,5529,7161,BIF,Brøndby IF,Brøndbyernes Idrætsforening,Brøndby Stadion,Vilfort Park,28000,9,18.09,VFF - BIF,VFF,BIF,3 - 1,8.585,Knud Stadsgaard,18.09,18,9,2005,2006,2005,13044,2005/2006,1127055600,Ingen,0,7,Weekend,17,Aften,0,0.8,15.228571428571428,6.2,13.25,85.71428571428571,Ingen regn før kamp,Lidt regn i løbet af dag,Mildt,Mellem vind,Mellem vindstød,Overskyet,18/09/2005,3,1
11,2005-09-25,VFF - AaB,2-0,6832,Michael Svendsen,2005/2006,AaB,4740.379310344828,A,5140.875,2,0,3,2005/2006,11,6832,2005,VFF-AaB,3011,4675,6215,AaB,AaB,Aalborg Boldspilklub af 1885,Aalborg Stadion,Aalborg Portland Park,13600,11,25.09,VFF - AaB,VFF,AaB,2 - 0,6.832,Michael Svendsen,25.09,25,9,2005,2006,2005,13051,2005/2006,1127653200,Ingen,0,7,Weekend,15,Eftermiddag,0,0,19.071428571428573,4.1,8.1,54.285714285714285,Ingen regn før kamp,Tør dag,Varmt,Mellem vind,Mellem vindstød,Let overskyet,25/09/2005,2,0
12,2005-10-02,VFF - SJF,1-1,4607,Anders Hermansen,2005/2006,SJF,3854.4166666666665,C,5140.875,1,1,2,2005/2006,12,4607,2005,VFF-SDR,2294,2556,3692,NA,NA,NA,NA,NA,NA,12,2.1,VFF - SJF,VFF,SJF,1 - 1,4.607,Anders Hermansen,2.1,2,10,2005,2006,2005,13058,2005/2006,1128258000,Ingen,0,7,Weekend,15,Eftermiddag,0,0.2,14.657142857142857,2.85,5.95,65.71428571428571,Ingen regn før kamp,Lidt regn i løbet af dag,Mildt,Svag vind,Let vindstød,Let overskyet,02/10/2005,1,1
14,2005-10-23,VFF - EFB,1-0,4276,Peter Rasmussen,2005/2006,EFB,3417.842105263158,C,5140.875,1,0,1,2005/2006,14,4276,2005,VFF-EFB,2105,2717,3788,EFB,Esbjerg fB,Esbjerg forenede Boldklubber,Esbjerg Stadion ,Blue Water Arena,17442,14,23.1,VFF - EFB,VFF,EFB,1 - 0,4.276,Peter Rasmussen,23.1,23,10,2005,2006,2005,13079,2005/2006,1130072400,Ingen,0,7,Weekend,15,Eftermiddag,0,0,10.157142857142857,6.2,14.05,32.857142857142854,Ingen regn før kamp,Tør dag,Mildt,Mellem vind,Mellem vindstød,Let overskyet,23/10/2005,1,0
16,2005-10-29,VFF - AaB,2-0,4154,Lars Christoffersen,2005/2006,AaB,4740.379310344828,A,5140.875,2,0,1,2005/2006,16,4154,2005,VFF-AaB,2167,2880,3486,AaB,AaB,Aalborg Boldspilklub af 1885,Aalborg Stadion,Aalborg Portland Park,13600,16,29.1,VFF - AaB,VFF,AaB,2 - 0,4.154,Lars Christoffersen,29.1,29,10,2005,2006,2005,13085,2005/2006,1130598000,Ingen,0,6,Weekend,17,Aften,0,0,13.885714285714286,1.55,3.25,98.57142857142857,Ingen regn før kamp,Tør dag,Mildt,Svag vind,Let vindstød,Overskyet,29/10/2005,2,0
19,2005-11-27,VFF - FCN,4-1,3437,Michael Svendsen,2005/2006,FCN,4216.444444444444,B,5140.875,4,1,2,2005/2006,19,3437,2005,VFF-FCN,1462,2284,2720,FCN,FC Nordsjælland,Football Club Nordsjælland,Farum Park,Right to Dream Park,10300,19,27.11,VFF - FCN,VFF,FCN,4 - 1,3.437,Michael Svendsen,27.11,27,11,2005,2006,2005,13114,2005/2006,1133100000,Ingen,0,7,Weekend,15,Eftermiddag,0,0,1.3857142857142857,2.6,4.3,18.571428571428573,Ingen regn før kamp,Tør dag,Koldt,Svag vind,Let vindstød,Solrigt,27/11/2005,4,1
21,2006-03-12,VFF - SIF,2-3,4027,Thomas Vejlgaard,2005/2006,SIF,3875.1538461538466,B,5140.875,2,3,4,2005/2006,21,4027,2006,VFF-SIF,1947,2390,3194,SIF,Silkeborg IF,Silkeborg Idrætsforening,JYSK Park,JYSK Park,10000,21,12.03,VFF - SIF,VFF,SIF,2 - 3,4.027,Thomas Vejlgaard,12.03,12,3,2005,2006,2006,13219,2005/2006,1142172000,Ingen,0,7,Weekend,15,Eftermiddag,0,0,0.5428571428571428,3.6,7,22.857142857142858,Ingen regn før kamp,Tør dag,Koldt,Svag vind,Let vindstød,Solrigt,12/03/2006,2,3
23,2006-03-26,VFF - ACH,1-1,3115,Henning Jensen,2005/2006,ACH,3517.4285714285716,C,5140.875,1,1,2,2005/2006,23,3115,2006,VFF-ACH,1625,2071,2694,ACH,AC Horsens,Alliance Club Horsens,Horsens Idrætspark),Nordstern Arena Horsens,10495,23,26.03,VFF - ACH,VFF,ACH,1 - 1,3.115,Henning Jensen,26.03,26,3,2005,2006,2006,13233,2005/2006,1143378000,Ingen,0,7,Weekend,15,Eftermiddag,0.6000000000000001,7.800000000000001,2.9857142857142858,5.15,10.55,91.42857142857143,Let regn før kamp,Våd dag,Koldt,Mellem vind,Mellem vindstød,Overskyet,26/03/2006,1,1
25,2006-04-02,VFF - BIF,2-0,7391,Knud Erik Fisker,2005/2006,BIF,6615.142857142857,A,5140.875,2,0,1,2005/2006,25,7391,2006,VFF-BIF,2904,4373,6889,BIF,Brøndby IF,Brøndbyernes Idrætsforening,Brøndby Stadion,Vilfort Park,28000,25,2.04,VFF - BIF,VFF,BIF,2 - 0,7.391,Knud Erik Fisker,2.04,2,4,2005,2006,2006,13240,2005/2006,1143991800,Ingen,0,7,Weekend,17,Aften,0,0,9.342857142857143,5.1,9.2,90,Ingen regn før kamp,Tør dag,Koldt,Mellem vind,Mellem vindstød,Overskyet,02/04/2006,2,0
26,2006-04-09,VFF - OB,2-2,5027,Michael Svendsen,2005/2006,OB,3524.217391304348,C,5140.875,2,2,2,2005/2006,26,5027,2006,VFF-OB,2040,3070,4353,OB,Odense Boldklub,Odense Boldklub,Odense Stadion,Nature Energy Park,15790,26,9.04,VFF - OB,VFF,OB,2 - 2,5.027,Michael Svendsen,9.04,9,4,2005,2006,2006,13247,2005/2006,1144587600,Ingen,0,7,Weekend,15,Eftermiddag,0,4,4.957142857142857,10.3,17.049999999999997,81.42857142857143,Ingen regn før kamp,Lidt regn i løbet af dag,Koldt,Kraftig vind,Kraftige vindstød,Overskyet,09/04/2006,2,2
28,2006-04-17,VFF - AGF,2-2,4866,Emil Laursen,2005/2006,AGF,4917.59375,A,5140.875,2,2,2,2005/2006,28,4866,2006,VFF-AGF,1907,3336,4355,AGF,AGF,Aarhus Gymnastikforening,Vejlby Stadium,Vejlby Stadium,12000,28,17.04,VFF - AGF,VFF,AGF,2 - 2,4.866,Emil Laursen,17.04,17,4,2005,2006,2006,13255,2005/2006,1145278800,2. Påskedag,1,1,Hverdag,15,Eftermiddag,0.4,2.8,6.985714285714286,7.7,13,90,Let regn før kamp,Lidt regn i løbet af dag,Koldt,Mellem vind,Mellem vindstød,Overskyet,17/04/2006,2,2
31,2006-05-04,VFF - FCK,0-1,9353,Kim Milton Nielsen,2005/2006,FCK,5108.321428571429,A,5140.875,0,1,2,2005/2006,31,9353,2006,VFF-FCK,3508,5783,8278,FCK,FC København,Football Club København,Parken,Parken,38065,31,4.05,VFF - FCK,VFF,FCK,0 - 1,9.353,Kim Milton Nielsen,4.05,4,5,2005,2006,2006,13272,2005/2006,1146762000,Ingen,0,4,Hverdag,19,Aften,0,0,19.97142857142857,7.949999999999999,13.25,0,Ingen regn før kamp,Tør dag,Varmt,Mellem vind,Mellem vindstød,Solrigt,04/05/2006,0,1
33,2006-05-14,VFF - FCM,1-1,6159,Anders Hermansen,2005/2006,FCM,5296.0526315789475,A,5140.875,1,1,0,2005/2006,33,6159,2006,VFF-FCM,2797,4122,5139,FCM,FC Midtjylland,Football Club Midtjylland,MCH Arena,MCH Arena,12148,33,14.05,VFF - FCM,VFF,FCM,1 - 1,6.159,Anders Hermansen,14.05,14,5,2005,2006,2006,13282,2005/2006,1147611600,Ingen,0,7,Weekend,15,Eftermiddag,0,0,11,8.8,14.35,41.42857142857143,Ingen regn før kamp,Tør dag,Mildt,Mellem vind,Mellem vindstød,Let overskyet,14/05/2006,1,1
2,2006-07-23,VFF - FCM,0-1,4029,Claus Bo Larsen,2006/2007,FCM,5296.0526315789475,A,4468.058823529412,0,1,1,2006/2007,2,4029,2006,VFF-FCM,1949,2491,3581,FCM,FC Midtjylland,Football Club Midtjylland,MCH Arena,MCH Arena,12148,2,23.07,VFF - FCM,VFF,FCM,0 - 1,4.029,Claus Bo Larsen,23.07,23,7,2006,2007,2006,13352,2006/2007,1153659600,Ingen,0,7,Weekend,15,Eftermiddag,0.2,3,18.928571428571427,1.8,3.25,91.42857142857143,Let regn før kamp,Lidt regn i løbet af dag,Varmt,Svag vind,Let vindstød,Overskyet,23/07/2006,0,1
4,2006-08-05,VFF - FCK,1-3,5102,Michael Svendsen,2006/2007,FCK,5108.321428571429,A,4468.058823529412,1,3,0,2006/2007,4,5102,2006,VFF-FCK,2611,2855,4431,FCK,FC København,Football Club København,Parken,Parken,38065,4,5.08,VFF - FCK,VFF,FCK,1 - 3,5.102,Michael Svendsen,5.08,5,8,2006,2007,2006,13365,2006/2007,1154790000,Ingen,0,6,Weekend,17,Aften,0,0,25.642857142857142,5.65,10.55,8.571428571428571,Ingen regn før kamp,Tør dag,Varmt,Mellem vind,Mellem vindstød,Solrigt,05/08/2006,1,3
5,2006-08-13,VFF - SIF,2-3,3851,Henrik Priegel,2006/2007,SIF,3875.1538461538466,B,4468.058823529412,2,3,1,2006/2007,5,3851,2006,VFF-SIF,1940,2283,3325,SIF,Silkeborg IF,Silkeborg Idrætsforening,JYSK Park,JYSK Park,10000,5,13.08,VFF - SIF,VFF,SIF,2 - 3,3.851,Henrik Priegel,13.08,13,8,2006,2007,2006,13373,2006/2007,1155474000,Ingen,0,7,Weekend,15,Eftermiddag,0,0,19.414285714285715,4.65,8.649999999999999,85.71428571428571,Ingen regn før kamp,Tør dag,Varmt,Mellem vind,Mellem vindstød,Overskyet,13/08/2006,2,3
7,2006-08-27,VFF - VB,1-0,4132,Peter Rasmussen,2006/2007,VB,3865.8,B,4468.058823529412,1,0,2,2006/2007,7,4132,2006,VFF-VB,1646,2404,3680,VB,Vejle B,Vejle Boldklub,Vejle Stadion,Vejle Stadion,11060,7,27.08,VFF - VB,VFF,VB,1 - 0,4.132,Peter Rasmussen,27.08,27,8,2006,2007,2006,13387,2006/2007,1156683600,Ingen,0,7,Weekend,15,Eftermiddag,0.8,0.8,17.485714285714284,4.85,8.95,90,Let regn før kamp,Lidt regn i løbet af dag,Mildt,Mellem vind,Mellem vindstød,Overskyet,27/08/2006,1,0
9,2006-09-17,VFF - RFC,3-2,5765,Emil Laursen,2006/2007,RFC,5100.875,A,4468.058823529412,3,2,1,2006/2007,9,5765,2006,VFF-RFC,3143,3513,5084,RFC,Randers FC,Randers Football Club,Cepheus Park Randers,Cepheus Park Randers,10300,9,17.09,VFF - RFC,VFF,RFC,3 - 2,5.765,Emil Laursen,17.09,17,9,2006,2007,2006,13408,2006/2007,1158498000,Ingen,0,7,Weekend,15,Eftermiddag,0,0,20.957142857142856,5.1,9.7,87.85714285714286,Ingen regn før kamp,Tør dag,Varmt,Mellem vind,Mellem vindstød,Overskyet,17/09/2006,3,2
11,2006-10-01,VFF - EFB,0-4,3549,Lars Christoffersen,2006/2007,EFB,3417.842105263158,C,4468.058823529412,0,4,3,2006/2007,11,3549,2006,VFF-EFB,1475,2187,2964,EFB,Esbjerg fB,Esbjerg forenede Boldklubber,Esbjerg Stadion ,Blue Water Arena,17442,11,1.1,VFF - EFB,VFF,EFB,0 - 4,3.549,Lars Christoffersen,1.1,1,10,2006,2007,2006,13422,2006/2007,1159707600,Ingen,0,7,Weekend,15,Eftermiddag,0,0.2,19.3,4.6,8.7,30,Ingen regn før kamp,Lidt regn i løbet af dag,Varmt,Mellem vind,Mellem vindstød,Let overskyet,01/10/2006,0,4
12,2006-10-15,VFF - VB,2-1,4370,Claus Bo Larsen,2006/2007,VB,3865.8,B,4468.058823529412,2,1,0,2006/2007,12,4370,2006,VFF-VB,1990,2729,3802,VB,Vejle B,Vejle Boldklub,Vejle Stadion,Vejle Stadion,11060,12,15.1,VFF - VB,VFF,VB,2 - 1,4.37,Claus Bo Larsen,15.1,15,10,2006,2007,2006,13436,2006/2007,1160917200,Ingen,0,7,Weekend,15,Eftermiddag,0,0,13.957142857142857,0.5,2.7,3.5714285714285716,Ingen regn før kamp,Tør dag,Mildt,Svag vind,Let vindstød,Solrigt,15/10/2006,2,1
15,2006-10-29,VFF - RFC,1-1,4818,Peter Rasmussen,2006/2007,RFC,5100.875,A,4468.058823529412,1,1,2,2006/2007,15,4818,2006,VFF-RFC,2064,2989,3981,RFC,Randers FC,Randers Football Club,Cepheus Park Randers,Cepheus Park Randers,10300,15,29.1,VFF - RFC,VFF,RFC,1 - 1,4.818,Peter Rasmussen,29.1,29,10,2006,2007,2006,13450,2006/2007,1162130400,Ingen,0,7,Weekend,15,Eftermiddag,0,0,7.6571428571428575,2.8,5.699999999999999,98.57142857142857,Ingen regn før kamp,Tør dag,Koldt,Svag vind,Let vindstød,Overskyet,29/10/2006,1,1
16,2006-11-05,VFF - ACH,1-0,3394,Henrik Priegel,2006/2007,ACH,3517.4285714285716,C,4468.058823529412,1,0,1,2006/2007,16,3394,2006,VFF-ACH,1506,2436,2980,ACH,AC Horsens,Alliance Club Horsens,Horsens Idrætspark),Nordstern Arena Horsens,10495,16,5.11,VFF - ACH,VFF,ACH,1 - 0,3.394,Henrik Priegel,5.11,5,11,2006,2007,2006,13457,2006/2007,1162735200,Ingen,0,7,Weekend,15,Eftermiddag,0,1.8,11.114285714285714,9.55,16.2,94.28571428571429,Ingen regn før kamp,Lidt regn i løbet af dag,Mildt,Kraftig vind,Kraftige vindstød,Overskyet,05/11/2006,1,0
18,2006-11-19,VFF - EFB,1-1,4028,Jesper Overgaard,2006/2007,EFB,3417.842105263158,C,4468.058823529412,1,1,1,2006/2007,18,4028,2006,VFF-EFB,1852,2289,3391,EFB,Esbjerg fB,Esbjerg forenede Boldklubber,Esbjerg Stadion ,Blue Water Arena,17442,18,19.11,VFF - EFB,VFF,EFB,1 - 1,4.028,Jesper Overgaard,19.11,19,11,2006,2007,2006,13471,2006/2007,1163944800,Ingen,0,7,Weekend,15,Eftermiddag,0,0.2,6.814285714285714,3.1,6.25,17.142857142857142,Ingen regn før kamp,Lidt regn i løbet af dag,Koldt,Svag vind,Let vindstød,Solrigt,19/11/2006,1,1
20,2007-03-18,VFF - BIF,1-1,5863,Lars Christoffersen,2006/2007,BIF,6615.142857142857,A,4468.058823529412,1,1,1,2006/2007,20,5863,2007,VFF-BIF,2675,3591,5112,BIF,Brøndby IF,Brøndbyernes Idrætsforening,Brøndby Stadion,Vilfort Park,28000,20,18.03,VFF - BIF,VFF,BIF,1 - 1,5.863,Lars Christoffersen,18.03,18,3,2006,2007,2007,13590,2006/2007,1174237200,Ingen,0,7,Weekend,18,Aften,0.2,2.8000000000000003,3.842857142857143,14.4,29.25,90,Let regn før kamp,Lidt regn i løbet af dag,Koldt,Kraftig vind,Kraftige vindstød,Overskyet,18/03/2007,1,1
22,2007-04-05,VFF - OB,0-2,4012,Henrik Priegel,2006/2007,OB,3524.217391304348,C,4468.058823529412,0,2,1,2006/2007,22,4012,2007,VFF-OB,1800,2597,3486,OB,Odense Boldklub,Odense Boldklub,Odense Stadion,Nature Energy Park,15790,22,5.04,VFF - OB,VFF,OB,0 - 2,4.012,Henrik Priegel,5.04,5,4,2006,2007,2007,13608,2006/2007,1175778000,Skærtorsdag,1,4,Hverdag,15,Eftermiddag,0,0,10.585714285714285,12.100000000000001,19.75,35.714285714285715,Ingen regn før kamp,Tør dag,Mildt,Kraftig vind,Kraftige vindstød,Let overskyet,05/04/2007,0,2
24,2007-04-15,VFF - SIF,2-1,4701,Jesper Overgaard,2006/2007,SIF,3875.1538461538466,B,4468.058823529412,2,1,0,2006/2007,24,4701,2007,VFF-SIF,2142,3318,3983,SIF,Silkeborg IF,Silkeborg Idrætsforening,JYSK Park,JYSK Park,10000,24,15.04,VFF - SIF,VFF,SIF,2 - 1,4.701,Jesper Overgaard,15.04,15,4,2006,2007,2007,13618,2006/2007,1176642000,Ingen,0,7,Weekend,15,Eftermiddag,0,0,21.9,4.35,8.7,15.714285714285714,Ingen regn før kamp,Tør dag,Varmt,Mellem vind,Mellem vindstød,Solrigt,15/04/2007,2,1
26,2007-04-22,VFF - AaB,0-2,4768,Anders Hermansen,2006/2007,AaB,4740.379310344828,A,4468.058823529412,0,2,2,2006/2007,26,4768,2007,VFF-AaB,2027,3030,4159,AaB,AaB,Aalborg Boldspilklub af 1885,Aalborg Stadion,Aalborg Portland Park,13600,26,22.04,VFF - AaB,VFF,AaB,0 - 2,4.768,Anders Hermansen,22.04,22,4,2006,2007,2007,13625,2006/2007,1177246800,Ingen,0,7,Weekend,15,Eftermiddag,0,0.4,14.2,5.65,10.8,90,Ingen regn før kamp,Lidt regn i løbet af dag,Mildt,Mellem vind,Mellem vindstød,Overskyet,22/04/2007,0,2
29,2007-05-09,VFF - FCM,0-1,3681,Emil Laursen,2006/2007,FCM,5296.0526315789475,A,4468.058823529412,0,1,0,2006/2007,29,3681,2007,VFF-FCM,1561,2532,3225,FCM,FC Midtjylland,Football Club Midtjylland,MCH Arena,MCH Arena,12148,29,9.05,VFF - FCM,VFF,FCM,0 - 1,3.681,Emil Laursen,9.05,9,5,2006,2007,2007,13642,2006/2007,1178730000,Ingen,0,3,Hverdag,19,Aften,0,0,8.814285714285715,8.5,14.35,77.14285714285714,Ingen regn før kamp,Tør dag,Koldt,Mellem vind,Mellem vindstød,Overskyet,09/05/2007,0,1
31,2007-05-20,VFF - FCK,0-1,5039,Thomas Vejlgaard,2006/2007,FCK,5108.321428571429,A,4468.058823529412,0,1,0,2006/2007,31,5039,2007,VFF-FCK,1837,2804,4277,FCK,FC København,Football Club København,Parken,Parken,38065,31,20.05,VFF - FCK,VFF,FCK,0 - 1,5.039,Thomas Vejlgaard,20.05,20,5,2006,2007,2007,13653,2006/2007,1179676800,Ingen,0,7,Weekend,18,Aften,0,0,18.557142857142857,2.85,7.05,3.5714285714285716,Ingen regn før kamp,Tør dag,Varmt,Svag vind,Let vindstød,Solrigt,20/05/2007,0,1
