rnd,dato,kamp,res,tilskuere,dommer,season,modstander,mean_tilskuere,kategori,mean_tilskuere_saeson,vff_mal,modstander_mal,vff_mal_kampen_foer,saeson,runde,tilskuere_1,ar,hold,d10_tilskuere,d7_tilskuere,d3_tilskuere,kort,langt,navn,stadion,sponsor_stadion_navn,tilskuere_2,rnd_1,dato_1,kamp_1,hjemme,ude,res_1,tilskuere_3,dommer_1,dato_num,dag,maned,ar_start,ar_slut,ar_1,match_date,saeson_1,kickoff,holiday_name,is_holiday,weekday_num,dagstype,kickoff_hour,kamp_tid,regn_1h_for,regn_dag,temp_kamp,vind_1h,vindstod_1h,skydaekke_kamp,regn_1h_kat,regn_dag_kat,temp_kamp_kat,vind_1h_kat,vindstod_1h_kat,skydaekke_kamp_kat,dato_index,vff_maal_from_res,modstander_maal_from_res
14,1996-10-27,VFF - LBK,1-1,1208,Peter Mikkelsen,1996/1997,LBK,2988.5294117647054,D,2747.8125,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,LBK,Lyngby BK,Lyngby Boldklub af 1921,Lyngby Stadion,Lyngby Stadion,10100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
15,1996-11-03,VFF - HER,2-0,1129,Lars Gerner,1996/1997,HER,2186.75,D,2747.8125,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,HER,Herfølge BK,Herfølge Boldklub,Herfølge Stadion,Herfølge Stadion,8000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0
17,1996-11-15,VFF - BIF,1-1,3831,JÃ¸rn West Larsen,1996/1997,BIF,6615.142857142857,A,2747.8125,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,BIF,Brøndby IF,Brøndbyernes Idrætsforening,Brøndby Stadion,Vilfort Park,28000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
19,1997-03-16,VFF - AB,0-1,2147,Finn Lambek,1996/1997,AB,2281.75,D,2747.8125,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,AB,AB,Akademisk Boldklub Gladsaxe,Gladsaxe Stadion,Gladsaxe Stadion,13507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
21,1997-04-06,VFF - FCK,1-0,1331,Claus Bo Larsen,1996/1997,FCK,5108.321428571429,A,2747.8125,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,FCK,FC København,Football Club København,Parken,Parken,38065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
24,1997-04-25,VFF - OB,3-5,2054,Steen Pedersen,1996/1997,OB,3524.217391304348,C,2747.8125,3,5,1,NA,NA,NA,NA,NA,NA,NA,NA,OB,Odense Boldklub,Odense Boldklub,Odense Stadion,Nature Energy Park,15790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5
26,1997-05-09,VFF - AaB,1-0,3493,Lars Gerner,1996/1997,AaB,4740.379310344828,A,2747.8125,1,0,3,NA,NA,NA,NA,NA,NA,NA,NA,AaB,AaB,Aalborg Boldspilklub af 1885,Aalborg Stadion,Aalborg Portland Park,13600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
28,1997-05-19,VFF - AGF,0-4,5302,Steen Pedersen,1996/1997,AGF,4917.59375,A,2747.8125,0,4,1,NA,NA,NA,NA,NA,NA,NA,NA,AGF,AGF,Aarhus Gymnastikforening,Vejlby Stadium,Vejlby Stadium,12000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4
31,1997-06-01,VFF - VB,1-1,2708,Knud Erik Fisker,1996/1997,VB,3865.8,B,2747.8125,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,VB,Vejle B,Vejle Boldklub,Vejle Stadion,Vejle Stadion,11060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
33,1997-06-15,VFF - SIF,0-2,1578,Knud Stadsgaard,1996/1997,SIF,3875.1538461538466,B,2747.8125,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,SIF,Silkeborg IF,Silkeborg Idrætsforening,JYSK Park,JYSK Park,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2
1,1998-07-26,VFF - HER,0-3,1576,Kim Milton Nielsen,1998/1999,HER,2186.75,D,2543.375,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,HER,Herfølge BK,Herfølge Boldklub,Herfølge Stadion,Herfølge Stadion,8000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3
3,1998-08-07,VFF - SIF,2-1,2508,JÃ¸rgen Johansen,1998/1999,SIF,3875.1538461538466,B,2543.375,2,1,0,NA,NA,NA,NA,NA,NA,NA,NA,SIF,Silkeborg IF,Silkeborg Idrætsforening,JYSK Park,JYSK Park,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1
6,1998-08-30,VFF - B93,5-0,1378,Anders Mosegaard,1998/1999,B93,1333,D,2543.375,5,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0
8,1998-09-20,VFF - AB,0-1,1860,Steen Pedersen,1998/1999,AB,2281.75,D,2543.375,0,1,5,NA,NA,NA,NA,NA,NA,NA,NA,AB,AB,Akademisk Boldklub Gladsaxe,Gladsaxe Stadion,Gladsaxe Stadion,13507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
